id,brand,model,image_url,description,created_at
004e00c4-4152-4b30-9e37-352dcf0ce252,CHEVROLET,CELTA,https://remokeys.com.ar/cdn/shop/files/LLGM016.jpg?v=1697736214,,
015d555f-2cc4-4150-b479-ed95474df178,CHEVROLET,CELTA,https://www.transkey.com/wp-content/uploads/2024/05/PhotoRoom_20220921_111214-e1715036424389-300x300.jpg,,
021483ff-3404-4b1a-aedc-12bd7a9da6b1,TOYOTA,YARIS,https://iqkeysupply.com/cdn/shop/products/original-toyota-transponder-key-g-chip-13_1_800x.jpg?v=1657983111,"Fija ",
03217d44-af5f-4caf-b806-1cdd99ee175d,CHEVROLET,CRUZE,https://www.transkey.com/wp-content/uploads/2024/05/PhotoRoom_20220922_115752-e1715036383820-300x300.jpg,,
0629f5ae-aaa0-45f6-b52e-beb86dfae499,FORD,ECOSPORT,https://www.transkey.com/wp-content/uploads/2024/05/58-300x300.png,mapa azul,
09a40c29-f087-4d20-ab28-142b5345f832,TOYOTA,ETIOS,https://www.transkey.com/wp-content/uploads/2024/09/Toyota-B33B-01-750x750-1-600x600.jpg,,
0c8ebb80-481a-4e20-8295-7ca590bd39d5,CHEVROLET,S-10 PICK - UP,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-B04B-01-750x750-1-300x300.jpg,,
0ecde8ee-b8ef-46be-a295-bdccf6e04718,SUZUKI,VITARA,https://www.transkey.com/wp-content/uploads/2024/09/Suzuki-B10-01-750x750-1-600x600.jpg,,
0f316eaf-29fd-4e84-97d6-d93379796d8a,TOYOTA,86,https://www.transkey.com/wp-content/uploads/2024/09/Toyota-B33B-01-750x750-1-600x600.jpg,,
0ff21699-c3d0-4c6d-b341-58a23d0fade7,HONDA,HR-V,https://www.transkey.com/product/llave-porta-chip-honda-mapa-hon66/,,
104f812d-af02-4a88-bd8c-b3c72123f0f1,PEUGEOT,307,https://www.transkey.com/wp-content/uploads/2024/09/Peugeot-B11-01-750x750-1-600x600.jpg,mapa ln,
1185022d-95a3-4216-a504-66f0b537299d,PEUGEOT,5008,https://www.transkey.com/wp-content/uploads/2024/09/Peugeot-B11-01-750x750-1-600x600.jpg,mapa ln,
13de6caa-18d2-48c6-8b37-709ce091f24f,FORD,MONDEO,https://www.transkey.com/wp-content/uploads/2024/05/59-300x300.png,,
141bec3d-cc6b-4cd4-960f-77993e0ca716,FORD,FIESTA KINETIC DESIGN ATTRACTION,https://www.transkey.com/wp-content/uploads/2024/05/61-300x300.png,,
146acd2b-1282-46d1-b417-e7d0345ba8b3,TOYOTA,HILUX PICK - UP,https://www.transkey.com/wp-content/uploads/2024/09/Toyota-B33B-01-750x750-1-600x600.jpg,,
15e0d7b0-364a-40d1-a878-891ee471c9cc,VOLKSWAGEN,TOUAREG,https://remokeys.com.ar/cdn/shop/files/LLVW001_1.webp?v=1701705830,"Fija ",
164c2228-ffcb-4dc2-a387-80915a9e5b68,FIAT,BRAVO,https://www.transkey.com/wp-content/uploads/2024/09/Fiat-B26-01-750x750-1-600x600.jpg,,
16beed2e-552f-4756-9a8f-442fd17ac9ce,VOLKSWAGEN,VENTO,https://remokeys.com.ar/cdn/shop/files/LLVW001_1.webp?v=1701705830,"Fija ",
