id,brand,model,description,created_at,image_url
01e10b84-0837-4e5a-b830-c5291deaaa00,FORD,FOCUS,"Presencia 3 botones ",,https://www.transkey.com/wp-content/uploads/2024/09/Ford-R10A-01-750x750-1-600x600.jpg
0333b2c1-e4f3-4db1-9b03-fccb82fc1689,PEUGEOT,208,Presencia 3 botones con baul,,https://www.transkey.com/wp-content/uploads/2021/07/PhotoRoom-20210729-102212-600x800.jpg
03c3f9f7-c815-4e22-98a0-d6f5c7554b4e,RENAULT,LOGAN,Fijo 2 botones linea nueva,,https://www.transkey.com/wp-content/uploads/2024/09/Renault-B32A2-01-750x750-1-600x600.jpg
03f87382-fb2f-46b9-88ef-5e3d05ebd897,VOLKSWAGEN,SURAN CROSS,"Flip 3 botones ",,https://www.transkey.com/wp-content/uploads/2024/09/128-280x280.png
048e98ee-8f20-4936-bdfc-e310c9aaa4d5,VOLKSWAGEN,TOUAREG,Presencia 3 botones con baul,,https://www.transkey.com/wp-content/uploads/2024/09/126-280x280.png
066b0563-7aa7-4a38-8ca8-2563a79c1820,VOLKSWAGEN,NEW BEETLE,Flip 2 botones,,https://www.transkey.com/wp-content/uploads/2024/09/VW-R202CE-01-750x750-1-600x600.jpg
071edefb-ff5e-4668-9515-686f53e61508,RENAULT,CLIO,"Fijo 2 botones ",,https://www.transkey.com/wp-content/uploads/2021/07/PhotoRoom-20210730-154813-600x800.jpg
077aff8c-d17a-4b9e-a4cb-a332efb7b31b,CHEVROLET,CRUZE,Flip 2 botones,,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-R04A-01-750x750-1-600x600.jpg
09c435fa-d498-4ecf-9b6c-80adf92a86f8,PEUGEOT,407,Flip 3 botones con baul linea vieja,,https://www.transkey.com/wp-content/uploads/2021/07/0-1.jpg
0b6752a7-d607-4804-b7e6-7902bb497c99,VOLKSWAGEN,POLO,Flip 2 botones,,https://www.transkey.com/wp-content/uploads/2024/09/VW-R202CE-01-750x750-1-600x600.jpg
0cbc2b62-5b73-41cb-bc86-5379cf0f1142,PEUGEOT,308,Flip 2 botones modelo viejo,,https://www.transkey.com/wp-content/uploads/2021/07/PhotoRoom-20210728-140804-600x800.jpg
0cef3caa-d8ed-427b-ae94-4938e5aeb48b,RENAULT,CLIO,"Fijo 1 boton ",,https://www.transkey.com/wp-content/uploads/2024/09/Renault-B06A-01-750x750-1-600x600.jpg
0e4c8947-b271-479a-adcd-4d74085a7510,RENAULT,LOGAN,"Fijo 2 botones ",,https://www.transkey.com/wp-content/uploads/2021/07/PhotoRoom-20210730-154813-600x800.jpg
0f4d7a7f-4b2e-42d7-9738-96c622230a1e,TOYOTA,HILUX PICK - UP,Flip 3 botones con baul linea nueva,,https://www.transkey.com/wp-content/uploads/2024/09/Toyota-B65D-01-01-750x750-1-600x600.jpg
0f6e3e4f-535b-4c65-bdda-0487f98debd1,FIAT,TIPO,Flip 4 botones,,https://www.transkey.com/wp-content/uploads/2024/09/Fiat-B23C-01-750x750-1-600x600.jpg
0fa3d5b6-2280-49b9-83b4-5c9976367c40,VOLKSWAGEN,SURAN CROSS,Flip 2 botones,,https://www.transkey.com/wp-content/uploads/2024/09/VW-R202CE-01-750x750-1-600x600.jpg
1094f8a4-6f78-47d8-83a5-ddd46f366d0c,FORD,MONDEO,Flip 3 botones cuadrado,,https://www.transkey.com/wp-content/uploads/2024/09/Ford-B62-01-750x750-1-600x600.jpg
110c13a5-aa65-4ffb-af1a-1dfc7175be67,TOYOTA,YARIS,"Fijo 2 botones ",,https://www.transkey.com/wp-content/uploads/2024/09/Toyota-B47A-01-750x750-1-600x600.jpg
114e8d0a-bf5e-4b96-a074-afbfa8fc18ae,FIAT,SIENA,"Flip 3 botones con baul ",,https://www.transkey.com/wp-content/uploads/2024/09/Fiat-R01-01-750x750-1-600x600.jpg
126bd1d7-201a-499f-9996-15f9f5abca6e,FORD,ECOSPORT,Presencia 3 botones,,https://www.transkey.com/wp-content/uploads/2024/09/Ford-R10A-01-750x750-1.jpg
1281852f-4765-4a27-921b-dab04aba2e8c,PEUGEOT,5008,Flip 3 botones con baul linea nueva,,https://www.transkey.com/wp-content/uploads/2021/07/PhotoRoom-20210728-153248-600x800.jpg
1366d14e-dbe3-433e-aa73-3d400f65be0c,VOLKSWAGEN,SURAN,Flip 2 botones,,https://www.transkey.com/wp-content/uploads/2024/09/VW-R202CE-01-750x750-1-600x600.jpg
13e5d6ff-ff96-4a32-a212-1c683cb3b438,TOYOTA,ETIOS CROSS,"Fijo 2 botones ",,https://www.transkey.com/wp-content/uploads/2024/09/Toyota-B47A-01-750x750-1-600x600.jpg
14a3e115-98d4-4c8e-aae1-7bfab4b49936,JEEP,CHEROKEE GRAND,Presencia 2 botones,,https://www.transkey.com/wp-content/uploads/2024/09/LLAVES-7.png
15024bf9-b841-4819-86cb-2429c01a3fcc,VOLKSWAGEN,TIGUAN,Flip 3 botones linea nueva,,https://www.transkey.com/wp-content/uploads/2024/09/127-280x280.png
152e49c7-db07-4d5f-a74b-96873c66fca1,FIAT,500,"Flip 3 botones ",,https://www.transkey.com/wp-content/uploads/2024/09/Fiat-R01-01-750x750-1-600x600.jpg
157badef-f45d-4059-bb38-b584d221b43f,VOLKSWAGEN,PASSAT CC,Presencia 3 botones plateado,,https://www.transkey.com/wp-content/uploads/2024/09/VW-R10D-01-750x750-1-600x600.jpg
1604d3b4-1c5b-417a-9f9d-e697f8e3bb20,FIAT,QUBO,"Flip 2 botones ",,https://www.transkey.com/wp-content/uploads/2021/07/Fiat-R00-AES-01-750x750-1-600x600.jpg
16221a1c-954d-45bb-92d7-b20c769bbbd3,NISSAN,KICKS,Fijo 4 botones,,https://www.transkey.com/wp-content/uploads/2024/09/Nissan-B37A-01-750x750-1-600x600.jpg
165f40b9-81ca-47ae-a18d-314201f5b597,FORD,F-100 PICK - UP,Llavero 4 botones,,https://www.transkey.com/wp-content/uploads/2021/07/39.png
1697f203-4b62-4fea-9d80-b61103158b16,JEEP,RENEGADE,Presencia 2 botones,,https://www.transkey.com/wp-content/uploads/2024/09/LLAVES-7.png
175c0b00-79e7-432d-827f-339cdc518a48,RENAULT,SANDERO STEPWAY,Fijo 3 botones linea nueva,,https://www.transkey.com/wp-content/uploads/2024/09/Renault-B32B-01-750x750-1-600x600.jpg
17fee28c-c509-41aa-957b-d242228d4281,RENAULT,MEGANE,Tarjeta 4 botones negro,,https://www.transkey.com/wp-content/uploads/2021/07/PhotoRoom-20210730-160913-600x800.jpg
184d791d-728f-4109-b97a-11499209999c,TOYOTA,HILUX SW4,Presencia 3 botones,,https://www.transkey.com/wp-content/uploads/2024/09/125-280x280.png
187e72fc-2f2c-431b-992e-3f5959f4827a,FIAT,FIORINO,Fijo 2 botones linea vieja,,https://www.transkey.com/wp-content/uploads/2024/09/LLAVES-4-400x400.png
